run,repeat,problem,seed,strategy,executed_strategy,fallback_from,fallback_applied,survivor_optimum_included,optimum_hit_count,optimum_total_count,selected_feature_count,strategy_policy,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,modeler_all_real_included,modeler_all_real_only,volume_ratio,volume_ratio_pct,explorer_bounds_pass,explorer_joint_pass,explorer_metadata,selected_bounds_path,run_root,p_dim,usable_n,usable_n_over_p,doe_failure_reason,doe_config_hash,doe_budget_policy,doe_initial_corner_ratio,doe_initial_corner_ratio_base,doe_initial_corner_ratio_policy,doe_initial_corner_np_ratio,doe_initial_corner_p_dim,doe_has_pre_constraints,doe_has_post_constraints,doe_additional_triggered,doe_added_samples,doe_gate1_pass_rate,doe_gate2_pass_rate,doe_gate1_score_mean,doe_gate2_score_mean,doe_gate1_score_last,doe_gate2_score_last,doe_gate1_score_ema_mean,doe_gate2_score_ema_mean,doe_gate1_score_ema_last,doe_gate2_score_ema_last,doe_gate_decision_source_last,doe_phase2_entered,doe_used_budget_ratio_final,doe_phase2_gate1_score_min,doe_phase2_gate2_score_min,doe_phase2_gate2_score_sticky_min,doe_gate_smoothing_enabled,doe_gate_ema_alpha,doe_gate_ema_warmup_stages,doe_gate_smoothing_use_for_phase2,doe_gate_smoothing_use_for_stop,doe_collapse_span_ratio_threshold,doe_collapse_anchor_streak_threshold,doe_collapse_min_stage,doe_diversity_injection_ratio,doe_diversity_injection_min_points,doe_diversity_injection_max_ratio,doe_diversity_boundary_floor_ratio,doe_phase2_min_used_budget_ratio,doe_phase2_np_gate_last,doe_early_stop_min_used_budget_ratio,doe_early_stop_min_usable_np_ratio,doe_budget_used,doe_budget_total,doe_budget_exhausted,doe_stage_count_total,doe_stage_gate_eval_count,doe_gate_eval_skipped_count,doe_phase2_first_stage,doe_phase2_stage_count,doe_phase2_transition_count,doe_gate_stop_raw_count,doe_gate_stop_final_count,doe_gate_stop_blocked_count,doe_collapse_detected_count,doe_diversity_injection_applied_count,doe_diversity_sample_count_total,doe_diversity_hit_rate_mean,doe_dynamic_exec_allocation_enabled,doe_exec_round_shares,doe_alloc_multiplier_last,doe_alloc_multiplier_mean,doe_alloc_eff_prev_last,doe_alloc_eff_ref_last,doe_alloc_dynamic_applied_count,doe_used_budget_ratio_phase2_first,doe_terminated_by,doe_p_dim,doe_usable_n,doe_usable_n_over_p,doe_additional_gp_x_scaling_enabled,doe_additional_gp_x_scaling_mode,doe_additional_gp_x_scaling_auto_span_ratio_threshold,doe_additional_gp_x_scaling_span_floor,doe_local_span_ratio_mean_last,doe_anchor_spread_zero_streak_max,doe_metadata,explorer_strategy_alias,explorer_strategy_mode,explorer_p_dim,explorer_usable_n,explorer_usable_n_over_p,explorer_selected_bounds_volume_ratio,explorer_pred_cluster_signal_mode,explorer_pred_cluster_beta_used,explorer_pred_cluster_confidence,explorer_pred_cluster_selected_count,explorer_pred_cluster_sigma_mean_selected,explorer_pred_refine_shift_norm,explorer_pred_obj_miss_case,explorer_pred_obj_iou,explorer_pred_obj_center_l1_norm,explorer_pred_multistart_det_fraction_used,explorer_pred_refine_bounds_scale_used,explorer_gp_x_scaling_applied_pred,explorer_gp_x_scaling_applied_obj,explorer_gp_x_scaling_span_ratio_pred,explorer_gp_x_scaling_span_ratio_obj,explorer_gp_uncertainty_dim_weights,explorer_pred_n_starts_used,explorer_dual_policy_mode,explorer_dual_total_starts_target,explorer_dual_total_starts_used,explorer_dual_np_ratio_used,explorer_dual_pred_ratio_used,explorer_dual_obj_ratio_used,explorer_dual_n_pred_starts,explorer_dual_n_obj_starts,explorer_dual_disagreement_center_l1_norm,explorer_dual_disagreement_iou,explorer_dual_disagreement_triggered,explorer_dual_center_bias_used,explorer_dual_center_tilt_strength_base,explorer_dual_center_tilt_strength_used_mean,explorer_dual_center_tilt_applied,explorer_dual_volume_cap_target,explorer_dual_volume_ratio_before_cap,explorer_dual_volume_cap_applied,explorer_post_cap_side_mass_shift_applied,explorer_post_cap_side_mass_shift_dims,explorer_constrained_boundary_preserve_applied,explorer_constrained_boundary_preserve_dims,explorer_low_dim_balance_guard_applied,explorer_low_dim_balance_guard_info,volume_cap_pass,joint_pass,fail_type
1,1,cantilever_beam,42,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,0.2498999999999999,24.98999999999999,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.6666666666666666,0.8333333333333334,0.5741868035035015,0.9123694069983972,0.6666666666666666,0.7878787878787878,0.413209350357312,0.933150840981622,0.6246561658709978,0.8883759967506102,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,2,1,3,0,3,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.22302705861693609,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091126_354050_78be\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.2498999999999999,score_beta_sigma,0.2,0.7326995523608277,4,11.709660234605185,,pred_obj_disjoint,0.0003923318948805713,0.3341201824513474,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[0.9877837303196468, 0.9094122892914215, 1.1299147459063759, 0.9728892344825558]",0,routed_v2,40.0,40.0,22.5,0.0,1.0,0.0,40.0,0.3341201824513474,0.0003923318948805713,True,0.5,0.55,0.414841533220335,True,0.2499,0.33716260961998284,True,True,"[{'dim': 0, 'side': 'lb', 'gap_ratio': 0.07182385443875516, 'ref_value': 0.10028595452954471, 'old_lb': 0.16492742352442435, 'old_ub': 1.0, 'new_lb': 0.1, 'new_ub': 0.9350725764755756}]",False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
2,2,cantilever_beam,1042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b2"", ""b1"", ""H""]",4,0,100.0,True,True,0.24990000000000004,24.990000000000006,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.8333333333333334,0.5,0.5772261689974993,0.914899310519315,0.7333333333333333,0.8571428571428571,0.40232858884287936,0.9378975631750315,0.6211009181396592,0.8955471991896107,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,2,1,2,0,2,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.37496989029847594,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091323_422195_6a65\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.24990000000000004,score_beta_sigma,0.2,0.5139388124903679,14,26.778297727850912,,pred_obj_disjoint,0.0074431622807337085,0.23294010131001763,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[1.0278325201181906, 0.9165022795780865, 1.0278332326071022, 1.0278319676966208]",0,routed_v2,40.0,40.0,22.5,0.0,1.0,0.0,40.0,0.23294010131001763,0.0074431622807337085,True,0.5,0.55,0.6123562690149246,True,0.2499,0.24990000000000004,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
3,3,cantilever_beam,2042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,0.24990000000003476,24.990000000003477,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.5,0.3333333333333333,0.4865096411174863,0.8958690409768243,0.3333333333333333,0.875,0.3620829439281048,0.9088157856317892,0.4803638507218069,0.8902278048590329,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,1,1,1,0,1,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.34489121120432115,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091555_313894_9b85\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.24990000000003476,score_beta_sigma,0.2,0.5200158781512355,22,24.493471045155328,0.0017116060698265303,pred_obj_aligned_or_unknown,0.1497527811952703,0.10159984953476475,0.35,1.3,True,True,11.11111111111111,11.11111111111111,,10,routed_v2,40.0,40.0,22.5,0.25,0.75,10.0,30.0,0.10159984953476475,0.1497527811952703,True,0.5,0.55,0.5587991724412061,True,0.2499,0.24990000000003476,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
4,4,cantilever_beam,3042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,0.24990000000000004,24.990000000000006,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.3333333333333333,1.0,0.46877121816818074,0.9374639405086854,0.6470588235294118,0.9555555555555556,0.3296006743673175,0.9351716447717341,0.5358898915719215,0.9401492413666251,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,5.0,1,1,2,0,2,0,0,0,,,,,,,,,0.8888888888888888,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.7382537757058816,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_091751_431231_9fac\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.24990000000000004,score_beta_sigma,0.2,0.47927394179451993,22,36.78779882038482,,pred_obj_disjoint,0.05398081114858342,0.13259851971934503,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[0.9838821252240197, 1.0020115475757256, 1.0120862841077631, 1.0020200430924913]",0,routed_v2,40.0,40.0,22.5,0.0,1.0,0.0,40.0,0.13259851971934503,0.05398081114858342,True,0.5,0.55,0.7251085410359661,True,0.2499,0.3441384612192211,True,True,"[{'dim': 0, 'side': 'ub', 'gap_ratio': 0.04182060215748123, 'ref_value': 0.6224832798955033, 'old_lb': 0.1, 'old_ub': 0.5848447379537702, 'new_lb': 0.1385385419417331, 'new_ub': 0.6233832798955034}, {'dim': 1, 'side': 'ub', 'gap_ratio': 0.0779751045994523, 'ref_value': 11.978632013919096, 'old_lb': 2.0, 'old_ub': 11.198880967924573, 'new_lb': 2.7897510459945227, 'new_ub': 11.988632013919096}, {'dim': 2, 'side': 'ub', 'gap_ratio': 0.048224003943285104, 'ref_value': 1.3945757899316338, 'old_lb': 0.1, 'old_ub': 1.302950182439392, 'new_lb': 0.1935256074922418, 'new_ub': 1.3964757899316338}, {'dim': 3, 'side': 'lb', 'gap_ratio': 0.05328650284891434, 'ref_value': 3.60091811748235, 'old_lb': 3.8140641288780075, 'old_ub': 7.0, 'new_lb': 3.59691811748235, 'new_ub': 6.782853988604343}]",True,"[{'dim': 0, 'side': 'lb', 'old_lb': 0.1385385419417331, 'old_ub': 0.6233832798955034, 'new_lb': 0.1, 'new_ub': 0.5848447379537702, 'policy_lb': False, 'policy_ub': False, 'touch_lb': True, 'touch_ub': False, 'gap': 0.03853854194173309, 'gap_ratio': 0.04282060215748121, 'below_legacy_deadband': False}, {'dim': 2, 'side': 'lb', 'old_lb': 0.1935256074922418, 'old_ub': 1.3964757899316338, 'new_lb': 0.1, 'new_ub': 1.302950182439392, 'policy_lb': True, 'policy_ub': False, 'touch_lb': True, 'touch_ub': False, 'gap': 0.09352560749224179, 'gap_ratio': 0.049224003943285154, 'below_legacy_deadband': False}, {'dim': 3, 'side': 'ub', 'old_lb': 3.59691811748235, 'old_ub': 6.782853988604343, 'new_lb': 3.8140641288780075, 'new_ub': 7.0, 'policy_lb': False, 'policy_ub': True, 'touch_lb': False, 'touch_ub': True, 'gap': 0.21714601139565737, 'gap_ratio': 0.05428650284891434, 'below_legacy_deadband': False}]",False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
5,5,cantilever_beam,4042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,0.2499000000002624,24.990000000026242,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.6666666666666666,0.8333333333333334,0.545082552613101,0.9300780269372431,0.3333333333333333,0.8780487804878049,0.405444093677477,0.9483670552398565,0.5190408711291481,0.9149158363037551,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,1,1,4,0,4,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.05903822167615661,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092013_441824_0cc2\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.2499000000002624,score_beta_sigma,0.2,0.5827201952865059,22,22.569273185806583,0.02140484843899496,pred_obj_aligned_or_unknown,0.15898556370016326,0.07947628243549291,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[0.9999990773066876, 1.0000003075644375, 1.0000003075644375, 1.0000003075644375]",10,routed_v2,40.0,40.0,22.5,0.25,0.75,10.0,30.0,0.07947628243549291,0.15898556370016326,True,0.5,0.55,0.75,True,0.2499,0.2499000000002624,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
6,6,cantilever_beam,5042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,0.2499000000000349,24.99000000000349,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.6666666666666666,0.8333333333333334,0.5669142457962784,0.9190190895387369,0.3333333333333333,0.90625,0.42990324820805154,0.9325595997937208,0.5143020056277195,0.9092972143601523,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,1,1,3,0,3,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.10645273980898318,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092214_308375_37be\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.2499000000000349,score_beta_sigma,0.2,0.6320248138169726,22,15.057683774432807,0.03934751641298474,pred_obj_aligned_or_unknown,0.12056836420627376,0.13489115020194564,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[1.2939555318113793, 1.1743994663022994, 0.8418284287147946, 0.6898165731715268]",10,routed_v2,40.0,40.0,22.5,0.25,0.75,10.0,30.0,0.13489115020194564,0.12056836420627376,True,0.5,0.55,0.7499999999999999,True,0.2499,0.2499000000000349,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
7,7,cantilever_beam,6042,S4_dual,S4_dual,,False,False,0,1,4,high_dim_active,"[""b1"", ""h1"", ""b2"", ""H""]",4,0,100.0,True,True,0.2499000000001727,24.99000000001727,0,False,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.6666666666666666,0.8333333333333334,0.6095117620978606,0.9332430286505063,0.5,0.975609756097561,0.4543885910408408,0.9332753438466604,0.6008456246220115,0.9455096321462985,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,2,1,3,0,3,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.057822815908703466,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092450_139002_29ee\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.2499000000001727,score_beta_sigma,0.2,0.6650475186512654,3,13.060476064976905,,pred_obj_disjoint,0.0007075832120678644,0.11996439818890516,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[1.0002032573875337, 1.0013663107894348, 0.9856676472970094, 1.012762784526022]",0,routed_v2,40.0,40.0,22.5,0.0,1.0,0.0,40.0,0.11996439818890516,0.0007075832120678644,True,0.5,0.55,0.75,True,0.2499,0.2499000000001727,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,0,over_shrink_fail
8,8,cantilever_beam,7042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,0.24990000000041193,24.990000000041192,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.8333333333333334,1.0,0.634057714047301,0.9198113389809325,0.6,0.9024390243902439,0.44479460097043844,0.9324945530289219,0.6599502907331735,0.9140407633445582,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,2,1,5,0,5,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.05527927917069217,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_092738_162935_0075\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.24990000000041193,score_beta_sigma,0.2,0.5813978200532093,22,20.036404520359238,0.06210136173718944,pred_obj_aligned_or_unknown,0.3094925762654168,0.05396106879470145,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[1.0457520891228302, 1.0457479888140722, 1.0457479888251198, 0.8627519332379775]",10,routed_v2,40.0,40.0,22.5,0.25,0.75,10.0,30.0,0.05396106879470145,0.3094925762654168,False,0.5,0.55,0.4227920225719155,True,0.2499,0.24990000000041193,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
9,9,cantilever_beam,8042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,0.2499000000003069,24.99000000003069,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.3333333333333333,1.0,0.5497491923212313,0.9382284637334356,0.7333333333333333,1.0,0.40612221123420783,0.93653929658067,0.6334608471510739,0.954262770013634,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,2,1,2,0,2,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.06729111052221419,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093023_603844_3893\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.2499000000003069,score_beta_sigma,0.2,0.5521127074383295,22,25.27492173637752,0.003346823653830677,pred_obj_aligned_or_unknown,0.3231371315903334,0.07766748127436898,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[1.0, 1.0, 1.0, 1.0]",10,routed_v2,40.0,40.0,22.5,0.25,0.75,10.0,30.0,0.07766748127436898,0.3231371315903334,False,0.5,0.55,0.44000000000000006,True,0.2499,0.2499000000003069,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
10,10,cantilever_beam,9042,S4_dual,S4_dual,,False,True,1,1,4,high_dim_active,"[""h1"", ""b1"", ""b2"", ""H""]",4,0,100.0,True,True,0.24990000000032245,24.990000000032246,1,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\Explorer\metadata_S4_dual.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\Explorer\artifacts\public\S4_dual\selected_bounds.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0,4,90,10.0,,52b772442c8a7b87ea77e3cc7bca86ca3791f476,consume_all,0.1,0.1,adaptive_p_gt_6_keep,10.0,9,True,False,True,63,0.5,1.0,0.5609210648219937,0.9312097654760386,0.28,0.9454545454545454,0.4262821557008157,0.9305223919670547,0.5123866256579899,0.9316527589522348,ema,True,1.0,0.55,0.75,0.65,True,0.35,2,True,True,0.22,2,2,0.2,2,0.4,0.12,0.3,7.4,0.5,20.0,90,90,True,6,6,0,4.0,1,1,3,0,3,0,0,0,,,,,,,,,0.7777777777777778,budget_exhausted,9,90,10.0,True,bounds,3.0,1e-12,0.46868032626624767,0,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_cantilever_beam_20260901_093253_932273_b1b0\DOE\metadata.json,s4,dual_refine_ei,4,90,22.5,0.24990000000032245,score_beta_sigma,0.2,0.589358024818486,22,17.901639826886736,0.036361099588689966,pred_obj_aligned_or_unknown,0.4003643284407467,0.03846762934494445,0.35,1.3,True,True,11.11111111111111,11.11111111111111,"[1.0325530343558753, 1.3096740474731463, 0.8718069078475307, 0.7859660103234483]",10,routed_v2,40.0,40.0,22.5,0.25,0.75,10.0,30.0,0.03846762934494445,0.4003643284407467,False,0.5,0.55,0.44000000000000006,True,0.2499,0.24990000000032245,False,False,[],False,[],False,"{'applied': False, 'reason': 'dim_gate', 'center_l1_before': None, 'center_l1_after': None, 'current_volume_ratio': None, 'volume_ratio_after': None}",1,1,pass
